n_train,n_val,n_test,positive_rate_train,positive_rate_val,positive_rate_test,roc_auc_val,pr_auc_val,brier_val,roc_auc_test,pr_auc_test,brier_test,best_threshold,val_f1_at_best_threshold,test_f1_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_name,fold,horizon,feature_set,n_features,purge_steps,used_markets,skipped_markets
19279,3714,3957,0.017739509310648893,0.033117932148626815,0.29492039423805916,0.9704070474288703,0.424940881166765,0.05721542648148521,0.7177233540033108,0.4383205460600469,0.2320971458843829,0.8,0.5032258064516129,0.2823667252489748,0.4462962962962963,0.20651242502142245,walk_forward,wf3,6min30s,price+local_depth+total_depth+imbalance,18,13,18,0
13677,3671,3930,0.01162535643781531,0.026968128575320077,0.03918575063613232,0.9777902202314297,0.3999131035993756,0.04093419597161676,0.9629065320272947,0.40946254537623716,0.0728428464141457,0.9,0.5369127516778524,0.48128342245989303,0.3316953316953317,0.8766233766233766,walk_forward,wf1,7min,price+local_depth+total_depth+imbalance,18,14,18,0
16461,3675,3930,0.014762165117550574,0.02802721088435374,0.0638676844783715,0.9745675643353375,0.4321322460725151,0.05960072737140387,0.9430102368454965,0.37991880071131884,0.07739436015555123,0.9,0.47146401985111663,0.4300341296928328,0.3761194029850746,0.50199203187251,walk_forward,wf2,7min,price+local_depth+total_depth+imbalance,18,14,18,0
19247,3678,3935,0.018288564451602846,0.03289831430125068,0.296569250317662,0.972241906890615,0.4515263636104724,0.05472272924169799,0.7136830641286634,0.43426750989179674,0.23524189501864506,0.8,0.5142857142857142,0.2906574394463668,0.4444444444444444,0.2159383033419023,walk_forward,wf3,7min,price+local_depth+total_depth+imbalance,18,14,18,0
13651,3635,3907,0.011794007764998901,0.027510316368638238,0.039672382902482727,0.9756548797736917,0.40176122314731916,0.03934449065483743,0.9635394456289978,0.4456394325688878,0.07112331887231008,0.8,0.538961038961039,0.48903878583473864,0.3310502283105023,0.9354838709677419,walk_forward,wf1,7min30s,price+local_depth+total_depth+imbalance,18,15,18,0
16433,3637,3908,0.01551755613704132,0.027770140225460545,0.0626919140225179,0.9762415438376417,0.48014519520756954,0.056723152368960424,0.9440405154690868,0.38593542943104997,0.07552157998060732,0.9,0.4804177545691906,0.4236983842010772,0.3782051282051282,0.4816326530612245,walk_forward,wf2,7min30s,price+local_depth+total_depth+imbalance,18,15,18,0
19215,3639,3916,0.01904761904761905,0.033250893102500685,0.29877425944841673,0.9729537349827805,0.47044148769508887,0.05137344381484673,0.7108228907937575,0.4319323196151136,0.2358070844603124,0.8,0.5321100917431193,0.2672864613596746,0.41742286751361163,0.19658119658119658,walk_forward,wf3,7min30s,price+local_depth+total_depth+imbalance,18,15,18,0
13623,3596,3888,0.011671438009249064,0.02586206896551724,0.040123456790123455,0.9759714407619889,0.40225550149477435,0.03787677369216365,0.9642420369912331,0.44917923622740596,0.0691501990428942,0.9,0.5267175572519084,0.49906890130353815,0.35170603674540685,0.8589743589743589,walk_forward,wf1,8min,price+local_depth+total_depth+imbalance,18,16,18,0
16405,3600,3885,0.01530021334958854,0.0275,0.06023166023166023,0.978476568022412,0.5015967609071298,0.05384589654618329,0.9436309452743306,0.3737786637858345,0.07608311380048953,0.8,0.4856396866840731,0.47962382445141066,0.3787128712871287,0.6538461538461539,walk_forward,wf2,8min,price+local_depth+total_depth+imbalance,18,16,18,0
19184,3600,3896,0.018869891576313594,0.0325,0.2962012320328542,0.9736154361477358,0.45117747209673953,0.04866396652801652,0.7062932090455043,0.42391346736703994,0.2378138582034423,0.7,0.5407925407925408,0.3333333333333333,0.4138817480719794,0.27902946273830154,walk_forward,wf3,8min,price+local_depth+total_depth+imbalance,18,16,18,0
13597,3553,3870,0.011693755975582849,0.02476780185758514,0.03772609819121447,0.9754066640430277,0.4045008350161766,0.03567605734736707,0.9643831937966247,0.43004659080455354,0.0689888826259541,0.9,0.5166666666666667,0.4932562620423892,0.34316353887399464,0.8767123287671232,walk_forward,wf1,8min30s,price+local_depth+total_depth+imbalance,18,17,18,0
16374,3563,3864,0.01551239770367656,0.02638226213864721,0.062111801242236024,0.9789288715246898,0.4939586909577717,0.051288281485214325,0.9454113778513613,0.3887512819459447,0.07482987438201613,0.8,0.48739495798319327,0.48513302034428796,0.38847117794486213,0.6458333333333334,walk_forward,wf2,8min30s,price+local_depth+total_depth+imbalance,18,17,18,0
19156,3558,3876,0.0192106911672583,0.02894884766722878,0.30108359133126933,0.975566577213269,0.44796304887866645,0.04777079714258924,0.7086869342503945,0.43141695798660173,0.23724607240356146,0.8,0.5230769230769231,0.2684485764090645,0.41696750902527074,0.19794344473007713,walk_forward,wf3,8min30s,price+local_depth+total_depth+imbalance,18,17,18,0
13569,3519,3846,0.011717886358611542,0.023586246092639953,0.036401456058242326,0.9720149515407381,0.4039102583306789,0.0328135583168187,0.9644842340605967,0.4425991492647538,0.06773469036468587,0.9,0.509090909090909,0.49101796407185627,0.3407202216066482,0.8785714285714286,walk_forward,wf1,9min,price+local_depth+total_depth+imbalance,18,18,18,0
16347,3519,3845,0.0154768459044473,0.025859619210002842,0.061378413524057214,0.9790606126662136,0.4695455827114515,0.048750804510979906,0.9461175216384651,0.386291704853877,0.07382944173730337,0.3,0.489247311827957,0.5392022008253095,0.39918533604887985,0.8305084745762712,walk_forward,wf2,9min,price+local_depth+total_depth+imbalance,18,18,18,0
19124,3521,3855,0.019190545910897302,0.027264981539335417,0.30817120622568095,0.9728892944038929,0.42672547688378504,0.046522137980559625,0.7089612535806761,0.43583908625601364,0.2345771350172855,0.1,0.5106382978723404,0.5853125853125853,0.43313131313131314,0.9023569023569024,walk_forward,wf3,9min,price+local_depth+total_depth+imbalance,18,18,18,0
13543,3478,3825,0.01159270471830466,0.022139160437032776,0.03712418300653595,0.968290456970257,0.4026920691703033,0.02988865192223315,0.9652514598861156,0.42419739222344877,0.06482301618662398,0.4,0.5076923076923077,0.5089605734767025,0.34134615384615385,1.0,walk_forward,wf1,9min30s,price+local_depth+total_depth+imbalance,18,19,18,0
16317,3483,3822,0.015505301219586935,0.024117140396210164,0.06096284667713239,0.9795598145112708,0.4471447052276355,0.047194970610885574,0.948030283280936,0.39213147853392505,0.07176465109285021,0.6,0.4827586206896552,0.5015015015015015,0.3856812933025404,0.7167381974248928,walk_forward,wf2,9min30s,price+local_depth+total_depth+imbalance,18,19,18,0
19093,3483,3834,0.019221704289530194,0.02641401091013494,0.31324986958789774,0.9731995179054531,0.40633353569074687,0.044273477774839386,0.7058186414473571,0.43796447431727037,0.23591206061496517,0.1,0.5168539325842697,0.5914270211611503,0.4386317907444668,0.9075770191507078,walk_forward,wf3,9min30s,price+local_depth+total_depth+imbalance,18,19,18,0
13515,3440,3806,0.011690714021457639,0.02063953488372093,0.03836048344718865,0.9641302848256055,0.38544876218821517,0.028486567379009918,0.9658563515233176,0.4085719463625972,0.05830059086620903,0.5,0.5023255813953489,0.5373134328358209,0.36923076923076925,0.9863013698630136,walk_forward,wf1,10min,price+local_depth+total_depth+imbalance,18,20,18,0
16289,3446,3800,0.015716127447971025,0.024376088218224026,0.06263157894736843,0.9805246310302824,0.46674055172440054,0.043451447949906234,0.9522574891832085,0.42294478486119613,0.06841690652143925,0.7,0.5077399380804953,0.525,0.417910447761194,0.7058823529411765,walk_forward,wf2,10min,price+local_depth+total_depth+imbalance,18,20,18,0
19064,3446,3810,0.019460763743180863,0.027278003482298318,0.31968503937007875,0.9747594322855837,0.4171267743644911,0.0407751589048187,0.7099696679438059,0.45009462446489884,0.2367598338800524,0.5,0.5481049562682215,0.44536767760697965,0.4507989907485282,0.4400656814449918,walk_forward,wf3,10min,price+local_depth+total_depth+imbalance,18,20,18,0
