n_train,n_val,n_test,positive_rate_train,positive_rate_val,positive_rate_test,roc_auc_val,pr_auc_val,brier_val,roc_auc_test,pr_auc_test,brier_test,best_threshold,val_f1_at_best_threshold,test_f1_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_name,horizon,feature_set,n_features,purge_steps,used_markets,skipped_markets
16661,5347,5480,0.011103775283596422,0.029923321488685244,0.20072992700729927,0.9616071428571429,0.32789086531420697,0.07832178282987834,0.7948113325031133,0.3911886119761937,0.17865846493044854,0.8,0.4206241519674355,0.2944927536231884,0.4064,0.2309090909090909,purged_time_split_baseline,3min30s,price+local_depth+total_depth+imbalance,18,7,18,0
16661,5347,5480,0.011103775283596422,0.029923321488685244,0.20072992700729927,0.4079634181607865,0.05019420950428115,0.2489637277571563,0.4872992943129929,0.20017310980331882,0.24660522507165214,0.6,0.09009009009009009,0.08560885608856089,0.22745098039215686,0.05272727272727273,shuffled_label_placebo,3min30s,price+local_depth+total_depth+imbalance,18,7,18,0
16635,5307,5458,0.011842500751427712,0.030148859996231393,0.21289849761817514,0.96453880901496,0.3644315835466047,0.0770355666997434,0.7965284922611436,0.41306375503345133,0.1836041364347323,0.8,0.4175824175824176,0.3131094257854821,0.42251461988304095,0.2487091222030981,purged_time_split_baseline,4min,price+local_depth+total_depth+imbalance,18,8,18,0
16635,5307,5458,0.011842500751427712,0.030148859996231393,0.21289849761817514,0.4660093258208665,0.03971919036934206,0.2657889045672965,0.5191003439135633,0.19965950806934507,0.24080909779172135,0.3,0.0599250936329588,0.3728105415394504,0.2292037146808931,0.9982788296041308,shuffled_label_placebo,4min,price+local_depth+total_depth+imbalance,18,8,18,0
16605,5267,5438,0.012586570310147547,0.03018796278716537,0.21643986759838177,0.9645530749644164,0.34441175026879317,0.07550040675742782,0.7952919895270316,0.41547165115993134,0.18732452561715565,0.7,0.4213406292749658,0.3807296538821328,0.42351716961498437,0.34579439252336447,purged_time_split_baseline,4min30s,price+local_depth+total_depth+imbalance,18,9,18,0
16605,5267,5438,0.012586570310147547,0.03018796278716537,0.21643986759838177,0.18985264205119115,0.017692056601557676,0.256782383366601,0.40332054752784385,0.16807703026613496,0.2573385066518321,0.3,0.05910390848427073,0.36725109580463366,0.2251007484168106,0.9966015293118097,shuffled_label_placebo,4min30s,price+local_depth+total_depth+imbalance,18,9,18,0
16577,5228,5415,0.013331724678771792,0.030795715378729917,0.22049861495844875,0.9660340260386596,0.36521939552333793,0.07261921835330253,0.7932323308082702,0.41916144977449027,0.1919918058728502,0.8,0.43867243867243866,0.3429454170957775,0.4451871657754011,0.27889447236180903,purged_time_split_baseline,5min,price+local_depth+total_depth+imbalance,18,10,18,0
16577,5228,5415,0.013331724678771792,0.030795715378729917,0.22049861495844875,0.13084665482534044,0.016626862900214718,0.2591966230364051,0.36424303464729474,0.16248837245392106,0.29801627419697835,0.1,0.05975134533308592,0.3613254652746255,0.22049861495844875,1.0,shuffled_label_placebo,5min,price+local_depth+total_depth+imbalance,18,10,18,0
16549,5188,5393,0.013656414284851048,0.032189668465690054,0.22566289634711664,0.9683604310995615,0.38965997102864536,0.07076771231582239,0.793608348523629,0.4235688323845672,0.18918078938617905,0.8,0.46131805157593125,0.3329938900203666,0.43775100401606426,0.2686935086277732,purged_time_split_baseline,5min30s,price+local_depth+total_depth+imbalance,18,11,18,0
16549,5188,5393,0.013656414284851048,0.032189668465690054,0.22566289634711664,0.12622315615731294,0.01784668820882412,0.27763136895260687,0.326286177303022,0.1623443465225929,0.27928044208444186,0.1,0.062371615312791784,0.3680145388459791,0.22558484961010025,0.9983566146261298,shuffled_label_placebo,5min30s,price+local_depth+total_depth+imbalance,18,11,18,0
16518,5150,5372,0.013984743915728296,0.03320388349514563,0.2306403574087863,0.9698123933385718,0.4237599466011316,0.06906071778209726,0.7941476573815704,0.42792711949278134,0.18980445102412571,0.8,0.47262247838616717,0.32847815168257155,0.4348404255319149,0.2639225181598063,purged_time_split_baseline,6min,price+local_depth+total_depth+imbalance,18,12,18,0
16518,5150,5372,0.013984743915728296,0.03320388349514563,0.2306403574087863,0.7085384345244178,0.09129985606677282,0.22857684228167435,0.6152316040483621,0.2781008591910794,0.24179159404638478,0.5,0.10167952791647752,0.4002120328650941,0.297947908445146,0.609362389023406,shuffled_label_placebo,6min,price+local_depth+total_depth+imbalance,18,12,18,0
16491,5109,5350,0.014310836213692318,0.031904482286161676,0.2330841121495327,0.9702579267127927,0.42519387624286953,0.06832305617278343,0.7943287140416551,0.4347916160940015,0.1954377744369294,0.8,0.46706586826347307,0.3525456292026897,0.43952095808383235,0.2943063352044908,purged_time_split_baseline,6min30s,price+local_depth+total_depth+imbalance,18,13,18,0
16491,5109,5350,0.014310836213692318,0.031904482286161676,0.2330841121495327,0.41261824018417315,0.031425672654851536,0.22962895915757048,0.5976976965042693,0.29309526023305843,0.2273036134893261,0.2,0.06211890243902439,0.38146222086264914,0.23568323568323568,1.0,shuffled_label_placebo,6min30s,price+local_depth+total_depth+imbalance,18,13,18,0
16461,5069,5330,0.014762165117550574,0.032550798974156636,0.23433395872420262,0.9718881309011814,0.4459533699808874,0.06535831090334447,0.791534869650192,0.4309029399281876,0.19791064111113055,0.8,0.4792626728110599,0.35076045627376423,0.43157894736842106,0.2954363490792634,purged_time_split_baseline,7min,price+local_depth+total_depth+imbalance,18,14,18,0
16461,5069,5330,0.014762165117550574,0.032550798974156636,0.23433395872420262,0.4548951999604528,0.04699237876926733,0.21040470318703158,0.5235319841268751,0.23350664985231762,0.2365116487281242,0.6,0.09523809523809523,0.058577405857740586,0.22702702702702704,0.03362690152121697,shuffled_label_placebo,7min,price+local_depth+total_depth+imbalance,18,14,18,0
16433,5030,5307,0.01551755613704132,0.03260437375745527,0.23553796872055777,0.9730647198580493,0.48285611226067315,0.06348298980713746,0.7896134089228495,0.428058552716675,0.19701398810259516,0.9,0.48576214405360135,0.23290845886442643,0.4222689075630252,0.1608,purged_time_split_baseline,7min30s,price+local_depth+total_depth+imbalance,18,15,18,0
16433,5030,5307,0.01551755613704132,0.03260437375745527,0.23553796872055777,0.4093962086353293,0.024916058420267458,0.23009594560705313,0.4493130884890313,0.19728422448468916,0.2609556449613283,0.4,0.0666049953746531,0.3833023491634274,0.24298264409685022,0.9072,shuffled_label_placebo,7min30s,price+local_depth+total_depth+imbalance,18,15,18,0
