horizon,horizon_seconds,feature_set,n_features,roc_auc_val,pr_auc_val,roc_auc_test,pr_auc_test,best_decision_threshold_by_val_f1,val_accuracy_at_best_threshold,val_precision_at_best_threshold,val_recall_at_best_threshold,val_f1_at_best_threshold,test_accuracy_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_f1_at_best_threshold
7min30s,450,price+total_depth,9,0.9150257684876297,0.3396984795084102,0.7750811992656762,0.1957284419591677,0.6,0.902073732718894,0.3205317577548006,0.8127340823970037,0.4597457627118644,0.5817450603252317,0.1268129416139829,0.8857142857142857,0.22186076772934288
8min,480,total_depth+imbalance,6,0.8029478808850273,0.256556110653792,0.8009476177682515,0.19570975652678965,0.7,0.9125840537944284,0.2793791574279379,0.4921875,0.3564356435643564,0.8542432195975503,0.22639225181598063,0.49081364829396323,0.30985915492957744
1min,60,price+local_depth+total_depth,15,0.9336336275852544,0.20317596500313595,0.9308260377583228,0.1953244363164406,0.7,0.9096626643796455,0.1971326164874552,0.8088235294117647,0.3170028818443804,0.9008837289897764,0.20474777448071216,0.7931034482758621,0.32547169811320753
9min,540,price+total_depth,9,0.9081967137072147,0.35587845840073534,0.7750016519807968,0.194756604272051,0.6,0.9020965570301981,0.3181148748159057,0.8244274809160306,0.45908607863974493,0.5673734010863851,0.125,0.8804071246819338,0.2189180639038279
6min30s,390,total_depth+imbalance,6,0.8030622728260384,0.23445399664961744,0.8141642061090131,0.19243705399608055,0.7,0.9075565784426544,0.2736842105263158,0.4868913857677903,0.3504043126684636,0.8547232407892439,0.21739130434782608,0.4945054945054945,0.30201342281879195
2min,120,local_depth,6,0.8134105673149563,0.0916480592357935,0.8780210861872313,0.19232888271842136,0.7,0.7933600457927876,0.13043478260869565,0.7839195979899497,0.22365591397849463,0.7617560298455666,0.13545042125729098,0.842741935483871,0.2333891680625349
1min,60,local_depth+imbalance,9,0.8405702233936032,0.08144418314107649,0.9094866092056706,0.1922311663221767,0.7,0.8006479893272346,0.10227272727272728,0.8602941176470589,0.1828125,0.7872119216773523,0.1125,0.8793103448275862,0.19947848761408082
8min30s,510,total_depth,3,0.8617583498303617,0.3082073680093367,0.825325152710435,0.1921576522946529,0.5,0.894079200307574,0.28,0.7440944881889764,0.4068891280947255,0.8045876378917878,0.20709105560032232,0.6606683804627249,0.31533742331288345
5min30s,330,price+total_depth,9,0.91404544044665,0.30110347739351895,0.7966723177733775,0.19189085901403483,0.6,0.8988505747126436,0.3035190615835777,0.7961538461538461,0.4394904458598726,0.6031386224934612,0.12265625,0.9127906976744186,0.2162534435261708
7min30s,450,total_depth,3,0.8636403948616143,0.2998872552709991,0.8262540234418749,0.1899258286862176,0.5,0.8949692780337941,0.29289940828402367,0.7415730337078652,0.41993637327677624,0.8055604126595559,0.20374898125509372,0.6493506493506493,0.31017369727047145
