horizon,horizon_seconds,feature_set,n_features,decision_threshold,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
10min,600,price+imbalance,9,0.5,0.634893125361063,0.05655247417074497,0.39245283018867927,0.09885931558935361,0.28040007018775226,0.054197919187031214,0.5384615384615384,0.09848318311716861
10min,600,price+imbalance,9,0.6,0.7475447718082033,0.052226027397260275,0.23018867924528302,0.0851360781577111,0.5667660993156695,0.054663774403470713,0.30288461538461536,0.0926130099228225
10min,600,price+imbalance,9,0.7,0.8367032543808973,0.05084745762711865,0.12452830188679245,0.07221006564551423,0.8913844534128794,0.13090909090909092,0.08653846153846154,0.10419681620839363
10min,600,price+imbalance,9,0.8,0.9216252647795109,0.0872093023255814,0.05660377358490566,0.06864988558352403,0.9229689419196351,0.07407407407407407,0.004807692307692308,0.009029345372460496
10min,600,price+imbalance,9,0.9,0.9493549008280378,1.0,0.007547169811320755,0.0149812734082397,0.927004737673276,0.0,0.0,0.0
10min,600,price+imbalance,9,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,price+local_depth,12,0.1,0.5000962834585019,0.088016967126193,0.939622641509434,0.16095669036845509,0.415862432005615,0.10730655163116742,0.9567307692307693,0.19296969696969696
10min,600,price+local_depth,12,0.2,0.5821297901020605,0.10329029571012079,0.9358490566037736,0.18604651162790697,0.5106158975258818,0.12201338005734311,0.9206730769230769,0.21547116736990155
10min,600,price+local_depth,12,0.3,0.6233391103408434,0.11054813450023031,0.9056603773584906,0.19704433497536947,0.5743112826811722,0.13401310997815002,0.8846153846153846,0.232764073371284
10min,600,price+local_depth,12,0.4,0.6830348546119777,0.1265548945375879,0.8830188679245283,0.22138126773888364,0.6111598526057203,0.1425734710087371,0.8629807692307693,0.2447171097477846
10min,600,price+local_depth,12,0.5,0.7184671673406509,0.13967489464178207,0.8754716981132076,0.24091381100726894,0.6466046674855238,0.1520034843205575,0.8389423076923077,0.25737463126843657
10min,600,price+local_depth,12,0.6,0.7654534950895436,0.1509157509157509,0.7773584905660378,0.252760736196319,0.6636251974030531,0.14649081488459728,0.7475961538461539,0.24497833792831825
10min,600,price+local_depth,12,0.7,0.8149431927594839,0.16666666666666666,0.6566037735849056,0.26585179526355995,0.7332865414985085,0.15456821026282855,0.59375,0.24528301886792453
10min,600,price+local_depth,12,0.8,0.8648180242634316,0.14238952536824878,0.3283018867924528,0.19863013698630136,0.7771538866467801,0.12212389380530973,0.3317307692307692,0.17852522639068563
10min,600,price+local_depth,12,0.9,0.9308684767956865,0.18243243243243243,0.1018867924528302,0.13075060532687652,0.9194595543077733,0.13559322033898305,0.019230769230769232,0.03368421052631579
10min,600,price+local_depth,12,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,price+local_depth+imbalance,15,0.1,0.5031773541305604,0.08851759687166726,0.939622641509434,0.1617933723196881,0.4204246359010353,0.10806407819712191,0.9567307692307693,0.194193705781898
10min,600,price+local_depth+imbalance,15,0.2,0.5798189870980166,0.1031055900621118,0.939622641509434,0.18582089552238806,0.5118441831900333,0.1222860791826309,0.9206730769230769,0.21589627959413754
10min,600,price+local_depth+imbalance,15,0.3,0.633737723859041,0.11336797354747284,0.9056603773584906,0.20151133501259447,0.5771187927706615,0.1347985347985348,0.8846153846153846,0.23394787031150668
10min,600,price+local_depth+imbalance,15,0.4,0.6884267282880802,0.1280923584387026,0.879245283018868,0.2236084452975048,0.6187050359712231,0.1447634452082491,0.8605769230769231,0.24783662166839737
10min,600,price+local_depth+imbalance,15,0.5,0.7134604274985558,0.13752222880853587,0.8754716981132076,0.23770491803278687,0.6392349535006141,0.14927288280581694,0.8389423076923077,0.2534495279593319
10min,600,price+local_depth+imbalance,15,0.6,0.7596764875794338,0.1481746599856836,0.7811320754716982,0.2490974729241877,0.6888927882084577,0.1574962140333165,0.75,0.26032540675844806
10min,600,price+local_depth+imbalance,15,0.7,0.79684190256114,0.149822695035461,0.6377358490566037,0.24264178033022255,0.730128092647833,0.1524163568773234,0.5913461538461539,0.24236453201970443
10min,600,price+local_depth+imbalance,15,0.8,0.8576930483342962,0.1308411214953271,0.3169811320754717,0.185226019845645,0.7817160905422004,0.1256781193490054,0.33413461538461536,0.18265440210249673
10min,600,price+local_depth+imbalance,15,0.9,0.9231658001155402,0.16161616161616163,0.12075471698113208,0.13822894168466524,0.9245481663449728,0.3055555555555556,0.026442307692307692,0.048672566371681415
10min,600,price+local_depth+imbalance,15,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,price+local_depth+total_depth,15,0.1,0.5919507028692471,0.10620220900594732,0.9433962264150944,0.19091256204658266,0.5600982628531321,0.13634782608695653,0.9423076923076923,0.23822546338498937
10min,600,price+local_depth+total_depth,15,0.2,0.6709031388407471,0.12474012474012475,0.9056603773584906,0.21927820922795796,0.6609931566941569,0.16899563318777291,0.9302884615384616,0.2860310421286031
10min,600,price+local_depth+total_depth,15,0.3,0.713845561332563,0.14024749558043606,0.8981132075471698,0.24260958205912334,0.6974907878575188,0.18405797101449275,0.9158653846153846,0.3065164923572003
10min,600,price+local_depth+total_depth,15,0.4,0.7723859041016753,0.16990640748740102,0.8905660377358491,0.28536880290205563,0.7369713984909634,0.20490463215258856,0.9038461538461539,0.33407374500222126
10min,600,price+local_depth+total_depth,15,0.5,0.8286154438667437,0.2146118721461187,0.8867924528301887,0.34558823529411764,0.7601333567292508,0.21441441441441442,0.8581730769230769,0.3431042767900048
10min,600,price+local_depth+total_depth,15,0.6,0.8565376468322742,0.24025974025974026,0.8377358490566038,0.37342304457527337,0.8510264958764695,0.30228310502283107,0.7956730769230769,0.4381204500330907
10min,600,price+local_depth+total_depth,15,0.7,0.8894665896398999,0.2868965517241379,0.7849056603773585,0.4202020202020202,0.8957711879277066,0.38227513227513227,0.6947115384615384,0.4931740614334471
10min,600,price+local_depth+total_depth,15,0.8,0.9202772963604853,0.3488843813387424,0.6490566037735849,0.45382585751978893,0.9048955957185472,0.3902439024390244,0.5384615384615384,0.45252525252525255
10min,600,price+local_depth+total_depth,15,0.9,0.9372231850568072,0.3944636678200692,0.43018867924528303,0.41155234657039713,0.9064748201438849,0.3691275167785235,0.39663461538461536,0.3823870220162225
10min,600,price+local_depth+total_depth,15,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,price+local_depth+total_depth+imbalance,18,0.1,0.5927209705372617,0.10671768707482993,0.9471698113207547,0.1918226977455101,0.5472889980698368,0.1334688346883469,0.9471153846153846,0.2339667458432304
10min,600,price+local_depth+total_depth+imbalance,18,0.2,0.6718659734257655,0.12467396974439228,0.9018867924528302,0.21906507791017416,0.641165116687138,0.16076634735526865,0.9278846153846154,0.27405040823571175
10min,600,price+local_depth+total_depth+imbalance,18,0.3,0.7098016560754863,0.13853317811408614,0.8981132075471698,0.2400403429147756,0.7141603790138621,0.1929113924050633,0.9158653846153846,0.3186951066499373
10min,600,price+local_depth+total_depth+imbalance,18,0.4,0.7525515116502984,0.1581769436997319,0.8905660377358491,0.2686397268070575,0.7436392349535006,0.20923761825264328,0.9038461538461539,0.33981021238138276
10min,600,price+local_depth+total_depth+imbalance,18,0.5,0.7947236664740998,0.1848937844217152,0.8867924528301887,0.3059895833333333,0.7632918055799263,0.21641337386018236,0.8557692307692307,0.34546336729742844
10min,600,price+local_depth+total_depth+imbalance,18,0.6,0.8432505295590218,0.22188449848024316,0.8264150943396227,0.3498402555910543,0.8650640463239164,0.3250743310208127,0.7884615384615384,0.46035087719298246
10min,600,price+local_depth+total_depth+imbalance,18,0.7,0.8815713460427499,0.27154046997389036,0.7849056603773585,0.4034917555771096,0.8941919635023688,0.37809647979139505,0.6971153846153846,0.4902789518174134
10min,600,price+local_depth+total_depth+imbalance,18,0.8,0.919892162526478,0.3486973947895792,0.6566037735849056,0.45549738219895286,0.9017371468678715,0.37919463087248323,0.5432692307692307,0.44664031620553357
10min,600,price+local_depth+total_depth+imbalance,18,0.9,0.9391488542268438,0.4037735849056604,0.4037735849056604,0.4037735849056604,0.9054220038603263,0.3648351648351648,0.39903846153846156,0.3811710677382319
10min,600,price+local_depth+total_depth+imbalance,18,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,price+total_depth,9,0.1,0.13441170806855382,0.05567226890756303,1.0,0.1054726368159204,0.07299526232672399,0.07299526232672399,1.0,0.13605887162714636
10min,600,price+total_depth,9,0.2,0.1606008087810514,0.057309688581314876,1.0,0.10840662712211085,0.07299526232672399,0.07299526232672399,1.0,0.13605887162714636
10min,600,price+total_depth,9,0.3,0.3423839784325053,0.06990715456034953,0.9660377358490566,0.13037942449707154,0.09457799613967363,0.0746054519368723,1.0,0.13885180240320427
10min,600,price+total_depth,9,0.4,0.619680338917774,0.11347197106690778,0.9471698113207547,0.20266451352442472,0.10580803649763117,0.07547169811320754,1.0,0.14035087719298245
10min,600,price+total_depth,9,0.5,0.8105141536683997,0.20313790255986788,0.9283018867924528,0.3333333333333333,0.17231093174241094,0.07940543712106396,0.9759615384615384,0.14686200036172906
10min,600,price+total_depth,9,0.6,0.9052570768341999,0.3333333333333333,0.8566037735849057,0.4799154334038055,0.529566590629935,0.12237412470823608,0.8822115384615384,0.21493411420204978
10min,600,price+total_depth,9,0.7,0.909686115925284,0.296,0.5584905660377358,0.3869281045751634,0.6780136866116863,0.13782542113323124,0.6490384615384616,0.22736842105263158
10min,600,price+total_depth,9,0.8,0.9364529173887927,0.3617021276595745,0.32075471698113206,0.34,0.8787506580101773,0.26495726495726496,0.37259615384615385,0.3096903096903097
10min,600,price+total_depth,9,0.9,0.9416522241478914,0.3698630136986301,0.2037735849056604,0.26277372262773724,0.9129671872258291,0.34,0.20432692307692307,0.2552552552552553
10min,600,price+total_depth,9,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,price+total_depth+imbalance,12,0.1,0.1363373772385904,0.05578947368421053,1.0,0.10568295114656032,0.07299526232672399,0.07299526232672399,1.0,0.13605887162714636
10min,600,price+total_depth+imbalance,12,0.2,0.20489119969189293,0.0589041095890411,0.9735849056603774,0.11108719052744886,0.0910686085278119,0.07433881343817011,1.0,0.1383898868928809
10min,600,price+total_depth+imbalance,12,0.3,0.36568457538994803,0.07108467856131408,0.9471698113207547,0.1322444678609062,0.09966660817687313,0.07484220018034266,0.9975961538461539,0.13923838282167422
10min,600,price+total_depth+imbalance,12,0.4,0.5817446562680532,0.10320432792342905,0.9358490566037736,0.18590704647676162,0.18406738024214775,0.08062599049128368,0.9783653846153846,0.14897510980966325
10min,600,price+total_depth+imbalance,12,0.5,0.7394569612940497,0.15128205128205127,0.8905660377358491,0.2586301369863014,0.38848920863309355,0.10091027308192457,0.9326923076923077,0.18211687397324572
10min,600,price+total_depth+imbalance,12,0.6,0.8145580589254766,0.1798165137614679,0.7396226415094339,0.2892988929889299,0.6574837690822951,0.15122615803814715,0.8004807692307693,0.25439266615737205
10min,600,price+total_depth+imbalance,12,0.7,0.8788754092046986,0.22672672672672672,0.569811320754717,0.32438238453276047,0.8090893139147218,0.21428571428571427,0.6057692307692307,0.3165829145728643
10min,600,price+total_depth+imbalance,12,0.8,0.9393414211438474,0.4074074074074074,0.41509433962264153,0.411214953271028,0.8815581680996666,0.2747826086956522,0.3798076923076923,0.31886982845610495
10min,600,price+total_depth+imbalance,12,0.9,0.9431927594839207,0.4,0.22641509433962265,0.2891566265060241,0.912791717845236,0.3276595744680851,0.18509615384615385,0.23655913978494625
10min,600,price+total_depth+imbalance,12,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,total_depth,3,0.1,0.05969574427113422,0.05147630147630148,1.0,0.09791243303159061,0.07299526232672399,0.07299526232672399,1.0,0.13605887162714636
10min,600,total_depth,3,0.2,0.11669555170421722,0.05461665292662819,1.0,0.10357631424662889,0.07299526232672399,0.07299526232672399,1.0,0.13605887162714636
10min,600,total_depth,3,0.3,0.16502984787213557,0.05605234460196292,0.969811320754717,0.10597938144329896,0.12142481137041586,0.0759283207094033,0.9879807692307693,0.14101904271744725
10min,600,total_depth,3,0.4,0.7837473522048912,0.17450682852807284,0.8679245283018868,0.29058749210360074,0.7287243376030883,0.1968884120171674,0.8822115384615384,0.3219298245614035
10min,600,total_depth,3,0.5,0.894473329481995,0.2897473997028232,0.7358490566037735,0.4157782515991471,0.8075100894893841,0.22606596942880128,0.6754807692307693,0.3387582881253767
10min,600,total_depth,3,0.6,0.9079530136722511,0.3081081081081081,0.6452830188679245,0.4170731707317073,0.839796455518512,0.24087591240875914,0.5552884615384616,0.336
10min,600,total_depth,3,0.7,0.9214326978625073,0.3133159268929504,0.4528301886792453,0.37037037037037035,0.8592735567643446,0.2674698795180723,0.5336538461538461,0.3563402889245586
10min,600,total_depth,3,0.8,0.9225880993645291,0.3163538873994638,0.44528301886792454,0.36990595611285265,0.8592735567643446,0.23848238482384823,0.4230769230769231,0.3050259965337955
10min,600,total_depth,3,0.9,0.9252840362025804,0.27137546468401486,0.27547169811320754,0.27340823970037453,0.8733111072117915,0.1825726141078838,0.21153846153846154,0.19599109131403117
10min,600,total_depth,3,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
10min,600,total_depth+imbalance,6,0.1,0.0803004043905257,0.052568934735171595,1.0,0.0998869204673954,0.07299526232672399,0.07299526232672399,1.0,0.13605887162714636
10min,600,total_depth+imbalance,6,0.2,0.1411515501636819,0.056084656084656084,1.0,0.1062124248496994,0.10159677136339709,0.07483731019522777,0.9951923076923077,0.13920645595158038
