horizon,feature_set,feature,coefficient,abs_coefficient
1min30s,local_depth+total_depth+imbalance,imbalance_top1,0.19200803248453333,0.19200803248453333
1min30s,local_depth+total_depth+imbalance,no_total_depth,0.1787029170600299,0.1787029170600299
1min30s,local_depth+total_depth+imbalance,imbalance_top5,-0.12451966844407274,0.12451966844407274
1min30s,local_depth+total_depth+imbalance,imbalance_top3,-0.0005666440892078016,0.0005666440892078016
1min30s,price+local_depth+total_depth+imbalance,no_depth_top3,-3.872345417959725,3.872345417959725
1min30s,price+local_depth+total_depth+imbalance,no_depth_top5,-3.3857185119306035,3.3857185119306035
1min30s,price+local_depth+total_depth+imbalance,yes_depth_top3,-2.2379598944683115,2.2379598944683115
1min30s,price+local_depth+total_depth+imbalance,yes_depth_top1,1.3971401399419985,1.3971401399419985
1min30s,price+local_depth+total_depth+imbalance,no_depth_top1,1.1944354985280106,1.1944354985280106
1min30s,price+local_depth+total_depth+imbalance,yes_depth_top5,-1.1147349643098878,1.1147349643098878
1min30s,price+local_depth+total_depth+imbalance,yes_total_depth,0.8504307671099981,0.8504307671099981
1min30s,price+local_depth+total_depth+imbalance,total_depth,0.45017804232043884,0.45017804232043884
1min30s,price+local_depth+total_depth+imbalance,imbalance_top1,0.22122327591049631,0.22122327591049631
1min30s,price+local_depth+total_depth+imbalance,spread,-0.2051941338134494,0.2051941338134494
1min30s,price+local_depth+total_depth+imbalance,no_total_depth,0.14355898470235587,0.14355898470235587
1min30s,price+local_depth+total_depth+imbalance,imbalance_top5,-0.07918942608972517,0.07918942608972517
1min30s,price+local_depth+total_depth+imbalance,imbalance_top3,-0.025222233610944916,0.025222233610944916
1min30s,price+local_depth+total_depth+imbalance,best_yes_ask,-0.005941614901578718,0.005941614901578718
1min30s,price+local_depth+total_depth+imbalance,best_no_bid,0.005941614901568143,0.005941614901568143
1min30s,price+local_depth+total_depth+imbalance,midprice,-0.0035886508292274056,0.0035886508292274056
1min30s,price+local_depth+total_depth+imbalance,best_yes_bid,-0.0012410077736597729,0.0012410077736597729
1min30s,price+local_depth+total_depth+imbalance,best_no_ask,0.0012410077736573647,0.0012410077736573647
2min,price,spread,0.11259820854347663,0.11259820854347663
2min,price,best_yes_bid,-0.0605101840486318,0.0605101840486318
2min,price,best_no_ask,0.0605101840486315,0.0605101840486315
2min,price,midprice,-0.059298719258208635,0.059298719258208635
2min,price,best_no_bid,0.0580765355198911,0.0580765355198911
2min,price,best_yes_ask,-0.058076535519891066,0.058076535519891066
2min,local_depth,no_depth_top3,-5.436714378250777,5.436714378250777
2min,local_depth,yes_depth_top3,-4.103634536435451,4.103634536435451
2min,local_depth,yes_depth_top1,2.173698636942699,2.173698636942699
2min,local_depth,no_depth_top1,1.473043315282021,1.473043315282021
2min,local_depth,yes_depth_top5,-0.37701087171089637,0.37701087171089637
2min,local_depth,no_depth_top5,-0.02701440281456191,0.02701440281456191
2min,total_depth,yes_total_depth,1.235866824154355,1.235866824154355
2min,total_depth,no_total_depth,-0.8110991902305497,0.8110991902305497
2min,total_depth,total_depth,-0.018569145998058454,0.018569145998058454
2min,imbalance,imbalance_top5,0.3917865090235502,0.3917865090235502
2min,imbalance,imbalance_top1,0.3042462228553403,0.3042462228553403
2min,imbalance,imbalance_top3,-0.041095244113824224,0.041095244113824224
2min,price+local_depth,no_depth_top3,-5.443678875735329,5.443678875735329
2min,price+local_depth,yes_depth_top3,-3.558010052602881,3.558010052602881
2min,price+local_depth,yes_depth_top1,2.3044318271422837,2.3044318271422837
2min,price+local_depth,no_depth_top1,1.6272999459503663,1.6272999459503663
2min,price+local_depth,yes_depth_top5,-1.0500177801283748,1.0500177801283748
2min,price+local_depth,no_depth_top5,-0.40836423720734755,0.40836423720734755
2min,price+local_depth,spread,-0.28436366881678393,0.28436366881678393
2min,price+local_depth,best_yes_ask,-0.05198906026692962,0.05198906026692962
2min,price+local_depth,best_no_bid,0.05198906026689819,0.05198906026689819
2min,price+local_depth,midprice,-0.04866869931638215,0.04866869931638215
2min,price+local_depth,best_yes_bid,-0.04535026327222046,0.04535026327222046
2min,price+local_depth,best_no_ask,0.04535026327218133,0.04535026327218133
2min,price+total_depth,yes_total_depth,1.5164076125085526,1.5164076125085526
2min,price+total_depth,no_total_depth,-1.2166725908869558,1.2166725908869558
2min,price+total_depth,total_depth,-0.16887530929981937,0.16887530929981937
2min,price+total_depth,best_yes_bid,-0.11816441008317988,0.11816441008317988
2min,price+total_depth,best_no_ask,0.11816441008317947,0.11816441008317947
2min,price+total_depth,midprice,-0.11798217635193999,0.11798217635193999
2min,price+total_depth,best_yes_ask,-0.11778415552865293,0.11778415552865293
